question,references,corpus_id
Какие требования истец предъявил в суде для взыскания с ответчиков?,"['использованием фотоотчетов.\nИстец просит суд: взыскать солидарно с ответчиков фио и Ивановой М.И. в пользу истца неосновательное обогащение полученное ответчиками в результате понесенных истцом затрат на выполнение ремонта принадлежащей ответчикам спорной квартиры - за проектную документацию в размере сумма, оплату ремонтных работ в сумме сумма и закупку строительных и отделочных материалов, инструментов, оборудования в размере сумма необходимых для ремонта квартиры принадлежащей ответчикам, а всего сумма; неосновательное обогащение полученное ответчиками в результате понесенных истцом затрат связанных с оплатой им коммунальных услуг, за отопление и содержание принадлежащей ответчикам квартиры за период с 01.02.2021 по 31.11.2021 в сумме сумма\nСуд ']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
Каковы были основания для восстановления срока подачи кассационной жалобы Кравцова С.Е.?,"['материалы дела и доводы, приведенные в ходатайстве, суд кассационной инстанции приходит к выводу о том, что заявитель обосновал наличие уважительных причин, препятствовавших своевременной подаче ']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
Каковы были основания суда для отказа ИП Безматерных М.Е. в замене взыскателя?,"['осквы от 17.10.2024 г., которым заявление ИП Безматерных М.Е. о замене стороны правопреемником - оставлено без удовлетворения,\nУСТАНОВИЛ:\n05.2017 года Тверским районным судом г.Москвы вынесен ', '2023-0980/128.\nСтороны в судебное заседание не явились, извещены надлежащим образом.\nСудом постановлено изложенное выше определение от 17.10.2024 года, об отмене которого по доводам частной жалобы просит ИП Безматерных М.Е.\nОпределением Тверского районного суда г.Москвы от 23.12.2024 года ', 'рено законом или договором.\nСогласност. 44 ГПК РФв случаях выбытия одной из сторон в спорном или установленном решением суда правоотношении (смерть гражданина, реорганизация юридического лиц', 'йонного суда адрес от 02 сентября 2024 года, которым постановлено:\n""Взыскать с Байбакова Германа Владимировича паспортные данные в пользу ООО ""МСК-НТ"" в лице Чеховского филиала ООО ""МСК-НТ"" ИНН 7734699480 сумму задолженности в размере сумма, пени в размере сумма, расходы по оплате госпошлины в размере сумма.\nВ удовлетворении остальной части иска - отказать"",\nУСТАНОВИЛА:\nИстец обра']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
Какие юридические действия были предприняты фио и Эмир И.Р. относительно доли в квартире?,"['собственности на указанный объект (доли в праве собственности).\nфио 20 декабря 2013 года подарила 1/2 долю в праве собственности на спорную квартиру дочери - фио на основании Договора дарения, реестровая запись № 77-77-06/232/2013-831, указанный договор сторонами и/или третьими лицам не оспорен, недействительным признан не был.\n24 февраля 2015 года между фио и Эмир И.Р. заключен ', 'ции - удовлетворены, право собственности Уполовникова С.С. на долю в размере 1/2 в праве собственности на квартиру, расположенную по адресу адрес - прекращено, за Эмир И.Р. признано право собственности на долю в размере 1/2 в праве собственности на квартиру, расположенную а', 'а), не противоречащего нормам действующего законодательства.\nСогласноп. 2 ст. 38 СК РФ(в ред. от 19.06.2006, действовавшей на момент заключения договора купли-продажи от 07.07.2006), общее имуществ']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
Какие документы представила истец Л.И. Атаманкина для обоснования требований о взыскании расходов на погребение?,"['обоснование взыскания расходов на погребение истцом Атаманкиной Л.И. представлены:\n\nкопия договора возмездного оказания услуг № 457 от 06.04.2019 года между фио ""Бюро СМЭ"" и Атаманкиной Л.И. на сумму сумма,сумма;\n\nкопия акта выполненных услуг от 06.04.2019 года к договору возмездного оказания услуг № 457 от 06.04.2019 года;\n\nкопия чек-ордера от 06.04.2019 года на сумму сумма,сумма;\n\nкопия товарного чека и чека продажи от 05.04.2019 года на сумму сумма,сумма, кассового и товарного чеков от 07.04.2019 года на сумму сумма,сумма, подтверждающие расходы Атаманкиной Л.И. на приобретение гроба и иных ритуальных принадлежностей.\n\nОценив представленные доказательства, суд пришел к ']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
На каких основаниях было возбуждено исковое требование Главного управления МЧС России по г. Москве против Коренева Е.В.?,"['оскве обратилось с иском к Кореневу Е.В. о возмещении ущерба, причиненного недостачей товарно-материальных ценностей, в размере 1 246 798 руб.\nВ обоснование иска указано, что в ', 'соответствии с приказом ГУ МЧС России по г. Москве от 15.09.2023 №744-НС ""По личному составу"" Коренев Е.В. уволен со службы в федеральной противопожарной службе в связи с расторжением контракта ', 'епленных за Кореневым Е.В., в размере 1 246 798 рублей 47 копеек.\nРешением Тушинского районного суда города Москвы от 28 марта 2024 года исковые требования удовлетворены: с Коренева Е.В. в пользу Главного управления МЧС России по г. Москве взыскан ущерб в размере 1 246 798 рублей 47 копеек, а такж']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
Какие основания для изменения или отмены решения суда первой инстанции указаны в ГПК Российской Федерации?,"['Федерации, основаниями для отмены или изменения решения суда в апелляционном порядке являются: неправильное определение обстоятельств, имеющих значение для дела; недоказанность установленных судом первой инстанции обстоятельств, имеющих значение для дела; несоответствие выводов суда первой инстанции, изложенных в решении суда, обстоятельствам дела; нарушение или неправильное применение ']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
"Какие действия предпринял истец ГКУ ""УКРиС"" после отказа судов первой и апелляционной инстанций в удовлетворении его требований?","['решением суда первой инстанции и постановлением апелляционного суда, ГКУ ""УКРиС"" обратилось в Арбитражный суд Московского округа с кассационной жалобой, в которой просит отменить состоявшиеся по делу судебные акты судов первой и апелляционной инстанции, принять по делу новый судебный акт об удовлетворении заявленных требований в полном объеме.\nЗаявитель жалобы указывает на то, что судами ']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
Какие условия должны быть выполнены для обращения в суд с защитой прав и законных интересов группы лиц по статье 244.20 ГПК РФ?,"['2).\nВ соответствии сост. 244.20 ГПК РФ, гражданин или организация вправе обратиться в суд в защиту прав и законных интересов группы лиц при наличии совокупности следующих условий:\nимеется общий по отношению к каждому члену группы лиц ответчик;\nпредметом спора являются общие либо однородные права и законные интересы членов группы лиц;\nв основании прав членов группы лиц и обязанностей ответчика лежат схожие фактические обстоятельства;\nиспользование всеми членами группы лиц одинакового способа защиты своих прав.\nПод членами группы лиц в настоящей главе понимаются граждане и организации, ']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
Какие процедурные нарушения были совершены при рассмотрении дела о материальной ответственности Коренева Е.В.?,"['работодателя.\nОднако истребование объяснения по факту выявления недостачи, что является обязательным при привлечении к материальной ответственности, в ходе проверки у Коренева Е.В. производилось, с результатами проверки ответчик не ознакомлен.\nПри таких обстоятельствах, учитывая, ', 'о ущерба и причин его возникновения, не представлено доказательств образования недостачи по вине ответчика, причинной связи между противоправным поведением ответчика и наступившими последствиями, не соблюдены требования ст. 247Трудового кодекса Российской Федерации, что исключает материальную ответственность Коренева Е.В., судебная коллегия приходит к выводу, что требован', ' и руководствуясьст. ст. 328,329 ГПК РФ, судебная коллегия\nОПРЕДЕЛИЛА:\nРешение Тушинского районного суда города Москвы от 28 марта 2024 года отменить, принять по делу новое решение.\nОтказать в удовлетворении исковых требований Главного управления МЧС России по г. Москве к Кореневу Е.В. о возмещении материального вреда.\nМотивированное апелляционное определение изготовлено 11 июня\n2025']",/Users/sergey/Desktop/RAG_Legal_asist/RAG_Legal_assistant/Fine_tune_Embeddings/court_decisions_combined.txt
